activity_group_name	VerwerkingsMethode	amount
A LANDBOUW, BOSBOUW EN VISSERIJ	C02 Shredderen / knippen	0,6
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	C02 Shredderen / knippen	17,76
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	C02 Shredderen / knippen	0,1
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	C02 Shredderen / knippen	0,26
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	C02 Shredderen / knippen	1,14
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	A02 Overslag / opbulken	0,12
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	C02 Shredderen / knippen	17,06
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	C02 Shredderen / knippen	10,48
F BOUWNIJVERHEID 	C02 Shredderen / knippen	0,38
A LANDBOUW, BOSBOUW EN VISSERIJ	C02 Shredderen / knippen	1,14
A LANDBOUW, BOSBOUW EN VISSERIJ	C02 Shredderen / knippen	1,88
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	A02 Overslag / opbulken	0,46
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	A02 Overslag / opbulken	0,22
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	C02 Shredderen / knippen	0,54
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	C02 Shredderen / knippen	5,52
F BOUWNIJVERHEID 	C02 Shredderen / knippen	50,12
F BOUWNIJVERHEID 	C02 Shredderen / knippen	30,78
F BOUWNIJVERHEID 	C02 Shredderen / knippen	51,5
F BOUWNIJVERHEID 	C02 Shredderen / knippen	0,12
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	C02 Shredderen / knippen	0,98
A LANDBOUW, BOSBOUW EN VISSERIJ	C02 Shredderen / knippen	4,94
F BOUWNIJVERHEID 	C02 Shredderen / knippen	13,72
F BOUWNIJVERHEID 	C02 Shredderen / knippen	0,06
F BOUWNIJVERHEID 	C02 Shredderen / knippen	0,3
F BOUWNIJVERHEID 	C02 Shredderen / knippen	3,26
F BOUWNIJVERHEID 	C02 Shredderen / knippen	1,2
